"new_file","canonical_source","sha256","bytes","source_file_count","collapsed_exact_duplicates","inclusion_reason","referenced_by","approximate_duplicate_note"
"crowd-add-place.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\crowd-add-place.png","5b3bcae1678d2444dc2da0d77638b55a4bd32f604c9c08c53131de656c648308","32721","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"crowd-api.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\crowd-api.png","5979f4157938852763204d7739e674fe71f8b5b895cc55a909e170e3f7424301","35872","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"crowd-batch.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\crowd-batch.png","10159b58badf3149dc90d321317fa4434b8680a2ab53e6c7f90be07373d69b5c","33328","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"crowd-bus.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\crowd-bus.png","8d49b73e3402f7420e8ed754c6f5fb8e252134db64a1ad66dce6870111b178a0","39140","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"crowd-current.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\crowd-current.png","55655af40a9099de115a0455ca00767febe035f0ce7125909ab934cd16bb80d0","32374","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"crowd-history.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\crowd-history.png","375c1d99f0a5d5580716d9e8d70d501688cbf2051705829ebdcb2484ac8a92da","34582","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"crowd-map.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\crowd-map.png","96dc39563f66d7f84d5235fef9373ed312f7e08f83fe27b796533781f04b9c17","35151","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"hotel-bills.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\hotel-bills.png","d269ff334eb0b26e75588bd5ad62bd70e400ba81b73f20e12cf557c0ebbc0150","23605","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"hotel-home.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\hotel-home.png","841e51b4d2c60c4c4fc2e11df7e484afcd73bbd4cfd4d398962d24109ed718f0","26157","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"hotel-workbench.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\hotel-workbench.png","0bc1bfb5b1a7caceddbd2f78a6042ba8f31897681a419deffbed27f92f20b6e0","21948","1","","video media asset; referenced by project source","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\index.html","Not removed: only byte-exact SHA-256 duplicates are folded."
"qwenpaw-login.png","Z:\qwen_compitition\final_work\video\edited\lensgo-demo-edited\media\qwenpaw-login.png","1b348364b993bd7a4ccc49b05915d2af4f8d91e72b096113b61a9ef73d4a0164","21476","1","","video media asset","","Not removed: only byte-exact SHA-256 duplicates are folded."
